pickup_hour,trip_distance,fare_amount,total_amount,passenger_count,trip_volume
2024-11-26 09:00:00,3.2950736256544504,18.018923429319372,25.44482329842932,1,6112
2024-11-26 10:00:00,2.757095539280959,18.198172436750998,25.935724034620502,1,6008
2024-11-26 11:00:00,2.9391447690550025,19.20047984331647,26.967992492247433,1,6127
2024-11-26 12:00:00,2.958002780352178,19.24586808773556,27.091864380599322,1,6474
2024-11-26 13:00:00,3.0978357331766087,19.911964443138405,27.90355715545107,1,6806
2024-11-26 14:00:00,3.3096671232876713,20.920380821917806,29.262345205479452,1,7300
2024-11-26 15:00:00,2.9886485784759187,20.039736466311826,27.94879267817733,1,7703
2024-11-26 16:00:00,3.0943492462311557,21.350347989949746,32.00617462311558,1,7960
2024-11-26 17:00:00,16.846369520087926,19.649951153987057,30.065217975332764,1,8189
2024-11-26 18:00:00,2.4742454177576767,17.80053320637943,27.759617948107593,1,8402
2024-11-26 19:00:00,2.977146871764532,18.073435882265937,28.17122762904896,1,6761
2024-11-26 20:00:00,3.2494790408832155,17.946356736242883,26.707414179748145,1,5797
2024-11-26 21:00:00,3.124145416953825,17.090294624396968,25.57315988973122,1,5804
2024-11-26 22:00:00,3.5212930389221557,18.493658308383235,27.246442739520955,1,5344
2024-11-26 23:00:00,4.034236252545825,19.292048297934247,28.091792260692465,1,3437
2024-11-27 00:00:00,3.9994837587006957,19.305493039443153,27.65413573085847,1,1724
2024-11-27 01:00:00,3.5245858343337337,16.333589435774307,23.678379351740695,1,833
2024-11-27 02:00:00,3.1207302231237324,15.199371196754564,22.59269776876268,1,493
2024-11-27 03:00:00,4.626382428940569,21.666666666666668,29.319948320413435,1,387
2024-11-27 04:00:00,7.342322033898306,32.56581355932204,44.22381355932203,1,590
2024-11-27 05:00:00,6.31576112412178,28.14781030444965,38.54160421545667,1,854
2024-11-27 06:00:00,4.758096658711217,21.48606801909308,29.11744630071599,1,1676
2024-11-27 07:00:00,3.7627007818052594,19.410174129353233,26.723791755508174,1,2814
2024-11-27 08:00:00,3.070775095298602,17.70615756035578,24.970653113087675,1,3935
2024-11-27 09:00:00,3.0108958028816035,18.25288995614951,25.840273543537272,1,4789
2024-11-27 10:00:00,3.2932922041503083,18.49184333520284,26.05840717891195,1,5349
2024-11-27 11:00:00,2.833433055419323,18.79435671080595,26.51434363249959,1,6117
2024-11-27 12:00:00,2.905295641572691,19.149606827186833,26.801565071624506,1,6562
2024-11-27 13:00:00,3.0969191327278054,20.00563873425139,27.71931145619689,1,6826
2024-11-27 14:00:00,3.289167691172855,20.786279813130072,28.804252520285225,1,8134
2024-11-27 15:00:00,3.0830591102985982,21.113867154174283,29.161139549055452,1,8205
2024-11-27 16:00:00,3.1066654929577466,21.112591549295775,31.563086854460092,1,8520
2024-11-27 17:00:00,2.887976395377428,19.510869191049913,29.593255470863046,1,8134
2024-11-27 18:00:00,2.6320486154617218,17.662257862423257,27.20094223781481,1,7981
2024-11-27 19:00:00,3.093386185243328,18.175153846153844,27.84052433281005,1,6370
2024-11-27 20:00:00,3.4232332657200812,18.31746247464503,26.792513184584177,2,4930
2024-11-27 21:00:00,3.2145851172273194,17.78600407747197,26.137561671763507,2,4905
2024-11-27 22:00:00,3.311669319990903,17.93704343870821,26.05571526040482,2,4397
2024-11-27 23:00:00,3.745316217908579,18.589815278647464,26.805886036318096,1,3194
2024-11-28 00:00:00,3.4947536496350367,17.329525547445254,25.037782846715327,1,2192
2024-11-28 01:00:00,3.083126089482859,15.463515398024404,22.211656013945383,1,1721
2024-11-28 02:00:00,3.140725190839695,16.266,23.386312977099237,1,1310
2024-11-28 03:00:00,3.9446331658291456,19.073577889447236,26.729396984924623,1,995
2024-11-28 04:00:00,4.774518147684606,23.812190237797246,32.65544430538173,1,799
2024-11-28 05:00:00,6.078240866035182,27.617970230040594,37.07803788903924,1,739
2024-11-28 06:00:00,5.362506887052342,24.097924701561066,31.822626262626258,1,1089
2024-11-28 07:00:00,4.149667571234735,19.8662618724559,27.511716417910446,1,1474
2024-11-28 08:00:00,3.3827630838491842,17.988778840742825,25.38535171637591,1,1777
2024-11-28 09:00:00,2.9390160642570278,15.928979919678715,22.87720080321285,1,2490
2024-11-28 10:00:00,3.164496684749849,17.899942736588308,25.401359252561786,1,3318
2024-11-28 11:00:00,2.9723974135787117,17.444648097488184,24.608413330017406,1,4021
2024-11-28 12:00:00,3.3788829787234045,19.197333776595745,26.389155585106383,1,4512
2024-11-28 13:00:00,3.6130543589743587,20.27190358974359,27.893552820512824,1,4875
2024-11-28 14:00:00,3.6716991795806746,20.2562935278031,27.74158614402917,1,5485
2024-11-28 15:00:00,15.763959881129272,18.824998142644873,25.74662518573551,2,5384
2024-11-28 16:00:00,3.515104109084209,18.96775935139119,25.741708126036485,2,5427
2024-11-28 17:00:00,3.244871422646205,17.510750725839898,24.019556200746578,2,4822
2024-11-28 18:00:00,3.165149286987522,16.38977495543672,22.87965909090909,2,4488
2024-11-28 19:00:00,89.74291811091854,17.088938474870016,23.519768197573658,2,4616
